Date,Forecast,Lower CI,Upper CI
2023-11-20,10256.792355530706,9560.058996775013,10937.329170415243
2023-11-21,10340.130070241183,9639.052758458816,11039.46251645208
2023-11-23,10395.275579492853,9706.77363004315,11094.014644965293
2023-11-26,10349.653386399026,9650.913812397923,11086.434360488498
2023-11-27,10401.351115279875,9707.094809755265,11085.601336507725
2023-11-28,10493.815326186352,9804.86173081232,11156.261903623372
2023-11-29,10555.81205114176,9891.59747461269,11315.402256715977
2023-11-30,10573.360964152136,9917.369793220352,11289.626449613012
2023-12-03,10577.566678419978,9901.971365710158,11272.090399257804
2023-12-04,10648.28227748967,9877.512117225257,11347.597465452345
2023-12-05,10760.290992603841,10070.43825177371,11441.121464540362
2023-12-06,10841.859714636217,10203.32430672912,11512.708678917956
2023-12-07,10878.460753229581,10224.03295894133,11593.450570989136
2023-12-10,10930.763646281848,10269.165424501045,11595.29887399438
2023-12-11,11012.452749828846,10283.678086637921,11681.265247570396
2023-12-12,11131.907844950978,10410.959533722262,11803.616058926602
2023-12-13,11216.841970092031,10503.690357993433,11927.967916788848
2023-12-14,11252.224096314583,10546.8125888008,11899.526160108875
2023-12-17,11269.371097728881,10578.266814223036,11948.983444793348
2023-12-18,11327.939158419456,10625.622444845012,12044.221487152525
2023-12-19,11418.367650729762,10759.27050009848,12106.929537056356
2023-12-20,11468.40913324103,10785.881166675272,12166.859657279301
2023-12-21,11463.185181658404,10745.422314229318,12128.17798740112
2023-12-25,11326.296771951562,10592.97837640273,11981.941093951844
2023-12-26,11353.678048766305,10678.223204686767,12023.625143113626
2023-12-27,11338.090661041471,10601.27602548259,12099.42346711832
2023-12-28,11265.47126221797,10564.884282670686,11939.952029591577
2024-01-01,10859.031487577675,10172.858438813482,11553.482812987784
2024-01-02,10823.568872018386,10111.7121180513,11515.101505024684
2024-01-03,10748.717036206228,10064.740860696216,11440.26463383253
2024-01-04,10621.219260411386,9919.895447144097,11277.161659409141
2024-01-07,10150.1342069777,9451.114221513351,10882.461832657169
2024-01-08,10052.592499411307,9340.413975785328,10748.888343571132
2024-01-09,9993.44271727393,9278.301214973919,10723.328244494765
2024-01-10,9902.271762044256,9225.630377258252,10606.78365620356
2024-01-11,9765.925506670352,9077.564296980945,10440.737023259533
2024-01-15,9234.417124539663,8536.683595077611,9920.574913343105
2024-01-16,9201.124649085768,8477.559236818628,9919.356919745094
2024-01-17,9141.464347651396,8464.570830193066,9838.016563440962
2024-01-18,9041.64445217144,8330.28758486954,9680.808795191697
2024-01-21,8720.462477601877,8035.064048402439,9404.840682488615
2024-01-22,8691.728210191877,7929.457932878608,9383.059300168297
2024-01-23,8708.77615330817,8006.732484877665,9370.54889039358
2024-01-24,8699.84597827341,8015.081911580014,9392.172824161806
2024-01-25,8650.387996380003,7913.82948237478,9333.201983399851
2024-01-28,8471.228844906307,7790.585547824704,9158.710884134836
2024-01-29,8484.85251956954,7843.530456705935,9144.469810294062
2024-01-30,8540.979342184157,7863.86286526442,9274.335649303654
2024-01-31,8567.506357819095,7837.618619347057,9278.315059119332
2024-02-01,8549.633195802795,7830.189629567723,9210.408331494973
2024-02-04,8440.872368057851,7734.162239438334,9134.802785360238
2024-02-05,8469.007159732299,7776.5654178110435,9217.634215643739
2024-02-06,8535.861121170241,7877.070071595842,9231.525220204521
2024-02-07,8569.58320145386,7880.51269200348,9266.426100252003
2024-02-08,8555.684179321832,7837.239383374002,9267.20628135814
2024-02-11,8443.296369984726,7760.570347666709,9127.104922665532
2024-02-12,8467.346352508637,7810.923429162232,9240.225723719725
2024-02-13,8528.954692347157,7813.550478642348,9204.771822572582
2024-02-14,8556.702899443808,7849.695693066732,9310.045220774566
2024-02-15,8536.51556848553,7847.979981798312,9207.100051506502
2024-02-19,8426.998424626485,7755.305047873658,9140.403737873987
2024-02-20,8485.695881793585,7811.250491573608,9164.115735247653
2024-02-21,8511.859327587885,7828.252878893076,9256.876778118813
2024-02-22,8491.500138378256,7807.433542164781,9191.366906858962
2024-02-25,8370.003629586321,7681.709455764717,9067.238799404176
2024-02-26,8395.19228681584,7645.5618216903395,9038.187137842324
2024-02-27,8460.159236664682,7796.701823535592,9124.325514075827
2024-02-28,8493.423766622473,7822.811201586223,9202.155593764894
2024-02-29,8480.760898925495,7789.368066720757,9208.362433832308
2024-03-03,8383.279887291974,7664.1196700056935,9096.909412877701
2024-03-04,8415.862484049763,7737.3742224361995,9119.002118285774
2024-03-05,8487.465867509003,7782.623780586681,9211.760761791988
2024-03-06,8526.358632327972,7829.533230912099,9193.553626425086
2024-03-07,8518.088130126558,7794.763580537597,9219.962973966369
2024-03-10,8397.522656458777,7724.128016805572,9171.961413059254
2024-03-11,8418.911041368181,7709.170581885359,9123.256501751588
2024-03-12,8477.46141181461,7824.6944582625265,9152.565007223262
2024-03-13,8501.44141011292,7784.78363127201,9205.283803931012
2024-03-14,8476.440741038905,7820.288424429532,9239.498944505041
2024-03-17,8322.85393676732,7662.901673512234,9071.396894101674
2024-03-18,8330.485017937852,7659.458149907878,9015.207016400085
2024-03-19,8374.253352058344,7652.846539604253,9098.745252206116
2024-03-20,8382.676856575108,7659.0265811083,9059.831010863832
2024-03-21,8341.615268290607,7683.105598384065,9005.967540623862
2024-03-24,8139.702382020463,7466.788599788783,8804.336702629018
2024-03-25,8132.160520231863,7444.016912795481,8856.110435948938
2024-03-26,8161.707832222775,7428.146025468133,8887.139736186331
2024-03-27,8157.137218914385,7446.472952352666,8775.814046369504
2024-03-28,8104.566472686864,7439.028411182509,8872.983730995975
2024-03-31,7879.277580870581,7138.030284586867,8507.251393213195
2024-04-01,7868.271438107227,7203.095584330015,8600.53849293999
2024-04-02,7896.745879382743,7190.011046457762,8591.66874976714
2024-04-03,7893.579584488202,7200.035056687405,8615.287419164242
2024-04-04,7844.9405667897045,7166.795856254788,8536.853456878518
2024-04-07,7646.572626733812,7001.888459768243,8389.860163675088
2024-04-08,7649.390884048984,6922.236146087095,8347.316593228643
2024-04-09,7693.933477674683,7017.929093650772,8329.55656696505
2024-04-10,7708.921485802908,7017.626839801615,8392.940973565603
2024-04-11,7680.3355697524585,7013.810430922302,8407.21387895201
2024-04-14,7551.250777364108,6836.701572597737,8162.530366051517
2024-04-15,7579.335936611064,6891.586299861557,8307.282654082488
2024-04-16,7649.7518153047695,6943.800238344824,8320.475634181079
2024-04-17,7690.911238523065,6982.068086731591,8400.998252084335
2024-04-18,7688.478009248124,6986.644404506453,8311.489457415977
2024-04-21,7634.519756505337,6953.863634093096,8384.1800288099
2024-04-22,7685.473655846485,7096.132396281707,8388.081295909089
2024-04-23,7777.158872035198,7099.9926024638335,8464.943371390627
2024-04-24,7837.700158796777,7123.0098070272215,8529.323505058643
2024-04-25,7852.491722664685,7126.398538957247,8531.86772123262
2024-04-28,7834.924861882263,7098.478891527697,8573.415301196896
2024-04-29,7892.277637512767,7229.978468133665,8564.154130993109
2024-04-30,7987.259866686709,7261.97551686913,8658.26959431116
2024-05-01,8047.909966617521,7408.100798867481,8781.033709296165
2024-05-02,8059.5757906908775,7411.244042310475,8784.373661279074
2024-05-05,8013.390396886711,7287.1957596570055,8746.401914935095
2024-05-06,8055.059712730712,7338.072316062896,8731.362478972385
2024-05-07,8131.528076902608,7477.764815855206,8835.788227111378
2024-05-08,8171.040627059972,7483.20878554568,8838.367004627433
2024-05-09,8159.190355242564,7477.269847725337,8885.482260387973
2024-05-12,8031.147317411952,7357.29802112963,8750.58388416363
2024-05-13,8042.890391667145,7389.782844689201,8720.503603674098
2024-05-14,8088.731276020111,7383.034139059772,8819.418823520205
2024-05-15,8097.307459189694,7419.871699863897,8807.80706820947
2024-05-16,8054.609807602661,7325.300839609184,8727.402619435026
2024-05-19,7838.48440613619,7144.38537515323,8498.671680323323
2024-05-20,7823.598442783226,7147.212283835818,8569.143520255144
2024-05-21,7844.744583053007,7156.311576838945,8555.308230707615
2024-05-22,7830.856187147171,7127.639588367198,8485.310455312805
2024-05-23,7768.182249353808,7093.838752229477,8481.461230584622
2024-05-27,7485.752641898813,6797.808648811556,8156.1032680923
2024-05-28,7501.635451018494,6808.964616924498,8202.764337300947
2024-05-29,7485.52664705047,6787.766434627945,8125.063405778184
2024-05-30,7423.58765766993,6712.914123908564,8103.732850646268
2024-06-02,7182.726063761557,6460.350990236546,7892.56691863549
2024-06-03,7170.242397324071,6457.159191628019,7848.934729727501
2024-06-04,7198.722094880429,6511.03445131117,7859.32880899671
2024-06-05,7196.742820273741,6454.128364914315,7893.240558243212
2024-06-06,7150.128144945931,6471.222228755228,7902.319567451895
